TARGETID,Z,LOGMSTAR,HALPHA_FLUX,HALPHA_BD
39628076958615376,0.4590695213,10.633211,45.084129,3.7490921
39633148786508747,0.1502549625,10.289351,123.64119,6.5769701
39627618336637212,0.2666539565,10.479017,117.90586,6.7019172
39627812998482286,0.2716511401,10.069082,87.134254,4.319078
39627741758231419,0.04305840681,8.7417507,76.579109,3.2731779
39627767167325116,0.178671744,9.6393652,154.14973,4.2048392
39627642940428365,0.1726955533,9.1792154,107.92404,2.9581256
39633288909820590,0.4242394833,10.017276,60.466309,3.2765496
39627672363470594,0.02856437563,10.122889,193.27576,4.1353636
39632995505671032,0.2293649321,10.125693,72.27639,5.5824084
39628000869748184,0.09118765326,8.9731503,96.043282,2.8599999
39633501527477862,0.2482843665,9.8192377,51.907864,3.4693911
39627725106842760,0.1225552843,9.7681999,80.258354,3.2073321
39628016095073138,0.3432288433,10.535266,82.802795,5.8154144
39627919940654878,0.2139107626,9.3212614,119.33389,3.7727599
39627851279898194,0.0136762743,6.649334,198.00348,2.8599999
39627588666135698,0.383896842,10.421903,53.515961,5.9064612
39628023313469992,0.4101338624,10.138672,53.02634,3.9898095
39627726574846073,0.3574464823,10.382156,79.439232,3.5941522
39633493692515455,0.2514343553,11.124064,344.99899,6.3105321
39627854186549862,0.2852157099,10.301612,69.2295,3.4481845
39627570714510957,0.05657630555,9.6894302,107.67198,3.4375925
39627748049684384,0.08274737365,9.4260626,901.62067,3.4315472
39628390755469777,0.09885503561,9.2762337,328.28937,3.4670649
39633322002874467,0.2016174223,9.6427402,385.57712,2.9331379
39627746099336079,0.05264044934,8.9105148,155.11417,2.8712683
39633240260087197,0.1753462866,9.2977877,73.863197,3.4411654
39627551093558326,0.05503467633,10.75254,140.66656,4.8751278
39627981374624074,0.2603901436,10.381092,70.439476,4.0976315
39632982146810503,0.2227990507,10.5103,93.336021,3.8056788
39627897568233365,0.2775916164,9.9311876,66.321259,4.1800337
39627860213763729,0.3690152644,10.074439,53.530571,3.5983148
39628540508897620,0.08931644703,9.2808056,57.201862,3.9540024
39633039667497967,0.1318057267,9.042325,45.580185,2.8599999
39633229275203976,0.08353067237,10.561577,156.79016,5.4117908
39633128045675971,0.2294741117,9.4249172,113.14591,3.2366674
39636825660196825,0.03477203722,9.5767775,261.93295,4.1473627
39633345675528995,0.17193391,9.3312101,75.167938,2.9356523
39627645410872387,0.05508176438,9.1527119,64.400261,2.8599999
39627628566544852,0.04168991263,9.3076839,122.21558,5.1290898
39628070331617252,0.1104420524,9.7336712,82.95874,3.0435603
39633535065132506,0.3493227267,10.324241,108.39961,4.4319534
39632946902076802,0.1771251074,9.7588577,80.726936,3.353121
39627700859573807,0.4887818803,11.514669,42.541111,3.1504261
39627707293634159,0.3595967146,9.9705763,112.47134,3.4928236
39628110676626008,0.2090988759,10.532908,68.195374,2.9528837
39628149922729918,0.2595603213,10.412383,90.651337,4.6817575
39627821684886559,0.1018407482,9.3660374,125.11484,3.6795442
39628228658203834,0.07813304362,8.3388939,86.196053,2.8599999
39627770057200011,0.1752418919,9.1874018,333.4079,3.4458156
39633127533971027,0.3572254741,9.895669,26.64604,3.0690036
39633417033222073,0.05611497829,8.9326706,67.551193,3.4808784
39633220303585835,0.2720390773,10.492805,38.348522,5.2023134
39628485051814879,0.1828133327,9.9785137,158.15154,4.3623986
39628407281031641,0.1122892378,9.344264,100.20208,3.9144197
39627793394304525,0.1711189116,9.9999275,55.304028,3.3904219
39628512402867289,0.2944064746,10.090933,95.980324,4.2020574
39633024035325231,0.0751726182,9.2900572,280.63699,3.606607
39627890656022905,0.4021769804,10.506061,60.80434,4.2800736
39632941936017817,0.2966264255,10.347776,237.99545,4.551609
39627386102220309,0.01262855261,6.2126293,666.81842,2.8599999
39633380735715104,0.3291712164,10.625655,121.69971,3.0607495
